Removed Pin From Net: NetName=V_COB_1 Pin=J3-9
Removed Pin From Net: NetName=IO1 Pin=J4-8
Change Component Description : Designator=F1 Old Description=2410 SMT Fuse New Description=2410 SMT Fuse | Quick Acting | 250mA | Higher AC Voltage
Change Component Description : Designator=*C13 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C3 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C6 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C8 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C10 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C11 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C12 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C15 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C16 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C17_Buck1 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
Change Component Description : Designator=C17_Buck2 Old Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel New Description=Capacitor;Ceramic;0.1uF;10%;50V;Tape/Reel | AVX 08055C104KAT2A
